codigo;detalhe;ean;marca;link
11316;MEMBRANA EN PASTA ANTIGOTERA VENIER BLANCO X 20KG;7792261018513;Venier;
11331;ALISADOR CABELLO YELMO  TEMP 110-230°;7790368296988;First Rate Ultracomb;
11332;SECADOR CABELLO YELMO MOTOR PROFESIONAL 2200 W;7790368296964;First Rate Ultracomb;
11335;LICUADORA MANO MIXER 1000W LM2521;7790368295134;First Rate Ultracomb;
11336;KIT LIMPIEZA FACIAL ULTRACOMB;7790368297091;First Rate Ultracomb;
11338;OLLA ELECT A PRESION ULTRACOMB 6L 11 PROGRAMAS;7790368297312;First Rate Ultracomb;
11339;(II) PARLANTE PORTATIL  BLUETOOTH MICRO SD / USB;7790368296261;First Rate Ultracomb;
11344;"TALADRO DE PIE 22 MM 1"" TB-25";7798225220466;Lusqtoff;
11351;LUSQTOFF LQCM245-8 MALETIN COMP.HERRAMIENTA P;7798225227557;Lusqtoff;https://somosrex.com/maletin-portatil-set-de-herramientas-245-piezas-lusqtoff.html
11383;LICUADORA DE MESA 650W  LC2007;7790368294069;First Rate Ultracomb;
11454;MATE DE ACERO INOX. 300 ML Y BOMBILLA VERDE MATLV-8B;7798225229070;Lusqtoff;
11497;ESMALTE ANTIOXIDO COLORMELL GRIS X 1 LITROS;7792261024835;Venier;https://somosrex.com/esmalte-sintetico-brillante-blanco-colormell-1-l.html
11505;DISCO NORTON SPEED GRIP  6 AGUJEROS  P400;66261131590;#N/D;
11506;DISCO NORTON SPEED GRIP  6 AGUJEROS  P600;66261131588;#N/D;
11507;REVESTA M4000 NEGRO X8 S;0;Revesta;
11510;LIVING MUROS Y FRENTES IMPERMEABLE UVA X 4 LITROS;7790715003658;Colorin;https://somosrex.com/latex-interior-guinda-colorin-living-1-lt.html
11564;VIDAKE LATEX INTERIOR SATINADO BLANCO ANTIIBACTERIAL X 20 LITROS;7795658002256;Best Paint;
11602;3D 709OZ16 PROTECTOR BRILLO MOLDURA Y GOMAS 500ML;7839709167096;3D;
11635;LLANA INOXIDABLE CHICA ARTECRET;763571732878;Artecret;https://somosrex.com/llana-metalica-lisa-120-x-180-mm-kendo.html
11639;TENDEDERO RETRACTIL DOBLE SOGA 011_010;7797483036321;Sabelcort (tender);
11641;TENDEDERO DE PIE CON ALAS 8 VARILLAS;7797483003019;Sabelcort (tender);
11659;CERA ACRIL PISOS  INCOLORA  5L ZELNOVA;7798113400819;Zelnova ( reemp qualibest);
11685;"TRUPPER 15824 REVOLVEDOR DE PINTURA 20""  P";7506240617785;Lusqtoff;
11686;LUSQTOFF SML150-8SOLDADORA MIG FLUX 120 AMP S;7798225229346;Lusqtoff;
